Date,CAC 40,NIFTY 50,FTSE 100,IBE 35,DAX,Stoxx
2020-04-01,4207.24,8253.8,5454.57,6579.4,9544.75,310.77
2020-04-02,4220.96,8253.8,5480.22,6574.1,9570.82,312.08
2020-04-03,4154.58,8083.8,5415.5,6581.6,9525.77,309.06
2020-04-06,4346.14,8083.8,5582.39,6844.3,10075.17,320.58
2020-04-07,4438.27,8792.2,5704.45,7002,10356.7,326.61
2020-04-08,4442.75,8748.75,5677.73,6951.8,10332.89,326.67
2020-04-09,4506.85,9111.9,5842.66,7070.6,10564.74,331.8
2020-04-13,4506.85,8993.85,5842.66,7070.6,10564.74,331.8
2020-04-14,4523.91,8993.85,5791.31,7108.6,10696.56,333.89
2020-04-15,4353.72,8925.3,5597.65,6839.5,10279.76,323.06
2020-04-16,4350.16,8992.8,5628.43,6763.4,10301.54,324.92
2020-04-17,4499.01,9266.75,5786.96,6875.8,10625.78,333.47
2020-04-20,4528.3,9261.85,5812.83,6831.5,10675.9,335.7
2020-04-21,4357.46,8981.45,5641.03,6634.9,10249.85,324.31
2020-04-22,4411.8,9187.3,5770.63,6719.8,10415.03,330.14
2020-04-23,4451,9313.9,5826.61,6746.5,10513.79,333.24
2020-04-24,4393.32,9154.4,5752.23,6613.9,10336.09,329.59
2020-04-27,4505.26,9282.3,5846.79,6731.8,10659.99,335.44
2020-04-28,4569.79,9380.9,5958.5,6836.4,10795.63,341.09
2020-04-29,4671.11,9553.35,6115.25,7055.7,11107.74,347.06
2020-04-30,4572.18,9859.9,5901.21,6922.3,10861.64,340.03
2020-05-01,4572.18,9859.9,5763.06,6922.3,10861.64,337.39
2020-05-04,4378.23,9293.5,5753.78,6673.3,10466.8,328.44
2020-05-05,4483.13,9205.6,5849.42,6747.7,10729.46,335.5
2020-05-06,4433.38,9270.9,5853.76,6671.7,10606.2,334.34
2020-05-07,4501.44,9199.05,5935.98,6730.9,10759.27,337.98
2020-05-08,4549.64,9251.5,5935.98,6783.1,10904.48,341.05
2020-05-11,4490.22,9239.2,5939.73,6672.2,10824.99,339.7
2020-05-12,4472.5,9196.55,5994.77,6762.7,10819.5,340.57
2020-05-13,4344.95,9383.55,5904.05,6631.4,10542.66,333.97
